job_id,bench_name,bench_id,nodes,tts,spms,e,nh,usage
35396879,Multithreaded,3,1,301.77,0.2453,44.02489,0.08,
35396882,Multithreaded,3,1,299.70,0.243,42.5796,0.08,
35396883,Multithreaded,3,1,312.02,0.2478,43.19548787,0.09,
35396884,Multithreaded,3,1,309.74,0.2486,43.76698233,0.09,
35396886,Multithreaded,3,1,314.73,0.2497,42.743831,0.09,
35396887,Multithreaded,3,1,304.30,0.247,44.53170732,0.08,
35396889,Multithreaded,3,1,305.46,0.2494,47.74603778,0.08,
35396890,Multithreaded,3,1,303.66,0.2474,44.38309556,0.08,
35396891,Multithreaded,3,1,306.80,0.252,47.212685,0.09,
35396878,Multithreaded,3,1,302.86,0.2454,43.54535854,0.08,
35396900,Hyperthreaded,4,1,240.43,0.1827,33.72979816,0.07,
35396901,Hyperthreaded,4,1,243.52,0.1828,35.41520608,0.07,
35396902,Hyperthreaded,4,1,252.25,0.1825,33.77283523,0.07,
35396903,Hyperthreaded,4,1,239.70,0.183,32.98272,0.07,
35396904,Hyperthreaded,4,1,253.43,0.1827,31.83251652,0.07,
35396905,Hyperthreaded,4,1,247.70,0.183,32.95305301,0.07,
35396906,Hyperthreaded,4,1,247.34,0.1826,31.588,0.07,
35396912,Hyperthreaded,4,1,254.52,0.1828,32.55028,0.07,
35396914,Hyperthreaded,4,1,249.88,0.1832,32.70194259,0.07,
35396915,Hyperthreaded,4,1,249.70,0.183,31.02155294,0.07,
35396826,Single Arbor,2,1,6526.24,6.4736,739.3017904,1.81,
35396827,Single Arbor,2,1,6595.34,6.5426,736.345923,1.83,
35396828,Single Arbor,2,1,6620.41,6.5649,770.1991589,1.84,
35396818,Single Arbor,2,1,6717.08,6.6612,780.251175,1.87,
35396820,Single Arbor,2,1,6625.31,6.5659,761.1056193,1.84,
35396821,Single Arbor,2,1,6674.73,6.6197,772.9002207,1.85,
35396822,Single Arbor,2,1,6546.66,6.4874,736.2773293,1.82,
35396824,Single Arbor,2,1,6628.46,6.5694,778.5015178,1.84,
35396825,Single Arbor,2,1,6563.67,6.5063,792.5724232,1.82,
35396823,Single Arbor,2,1,6552.70,6.493,769.3646142,1.82,
35396804,Single NEURON,1,1,65921.70,65.813,7568.530485,18.31,
35396805,Single NEURON,1,1,65117.31,65.0159,7340.465385,18.09,
35396808,Single NEURON,1,1,65902.63,65.7907,7627.310962,18.31,
35396809,Single NEURON,1,1,66411.88,66.2832,7589.029124,18.45,
35396811,Single NEURON,1,1,66096.43,65.9927,7571.053686,18.36,
35396812,Single NEURON,1,1,55529.27,55.4303,6256.038577,15.42,
35396813,Single NEURON,1,1,66465.97,66.3333,7909.882665,18.46,
35396815,Single NEURON,1,1,58043.15,57.9435,6620.740061,16.12,
35396817,Single NEURON,1,1,66601.69,66.4641,7788.009323,18.50,
35396816,Single NEURON,1,1,66581.39,66.4371,7709.679647,18.49,
35413305,ThreadDist,8,20,2279.00,2.013,6550.756,12.66,
35430561,ThreadDist,8,20,2304.00,1.9899,6565.096,12.80,
35430565,ThreadDist,8,20,2266.00,1.9704,6314.956,12.59,
35430567,ThreadDist,8,20,2277.00,2.0046,6707.549,12.65,
35430570,ThreadDist,8,20,2299.00,2.0273,6578.109,12.77,
35430583,ThreadDist,8,20,2250.00,1.9608,6421.68,12.50,
35430585,ThreadDist,8,20,2274.00,1.9753,6415.478,12.63,
35430586,ThreadDist,8,20,2274.00,1.9855,6426.315,12.63,
35430587,ThreadDist,8,20,2274.00,1.9786,6427.4,12.63,
35430588,ThreadDist,8,20,2241.00,1.9504,6377.55,12.45,
35430843,Socket Arbor,13,1,528.08,0.4712,71.63100538,0.15,
35430844,Socket Arbor,13,1,533.63,0.4707,66.85413664,0.15,
35430845,Socket Arbor,13,1,530.27,0.4703,69.15315495,0.15,
35430847,Socket Arbor,13,1,531.45,0.4705,69.6937625,0.15,
35430848,Socket Arbor,13,1,531.91,0.4699,65.21997385,0.15,
35430858,Socket Arbor,13,1,531.81,0.4709,63.94522833,0.15,
35430860,Socket Arbor,13,1,532.00,0.47,65.11387156,0.15,
35430865,Socket Arbor,13,1,532.09,0.4701,69.12776596,0.15,
35430867,Socket Arbor,13,1,533.27,0.4703,68.85970073,0.15,
35430868,Socket Arbor,13,1,523.53,0.4717,74.52105818,0.15,
35431035,Distributed Arbor,7,20,3125.00,2.6325,16631.606,17.36,
35432878,Distributed Arbor,7,20,3517.00,2.7044,18408.937,19.54,
35432879,Distributed Arbor,7,20,3559.00,2.7535,18515.583,19.77,
35432881,Distributed Arbor,7,20,3143.00,2.6422,16741.372,17.46,
35432883,Distributed Arbor,7,20,3250.00,2.7289,17409.674,18.06,
35432884,Distributed Arbor,7,20,3079.00,2.6517,17212.5,17.11,
35432886,Distributed Arbor,7,20,3168.00,2.6272,16761.696,17.60,
35432887,Distributed Arbor,7,20,4374.00,2.6513,20125.979,24.30,
35432888,Distributed Arbor,7,20,4343.00,2.6744,19977.084,24.13,
35432889,Distributed Arbor,7,20,4466.00,2.7347,19434.518,24.81,
35433165,HyperDist,9,20,2920.00,2.1446,7889.658,16.22,
35433166,HyperDist,9,20,2920.00,2.1518,7496.132,16.22,
35433167,HyperDist,9,20,2602.00,2.1968,7496.132,14.46,
35433168,HyperDist,9,20,2511.00,2.1406,6983.176,13.95,
35435003,Socket NEURON,14,1,3655.73,3.4797,649.0734662,1.02,
35435004,Socket NEURON,14,1,3906.57,3.7273,695.7162389,1.09,
