name,speedup,method,ion_r,ion_w,range,global,state,param,assign
Ca,11.9517,derivi,1,1,23,0,2,16,10
CaL13,3.2405,cnexp,2,1,6,0,2,15,9
Cav2_1,3.9287,cnexp,2,1,8,0,1,10,8
Cav2_2,18.722,cnexp,2,1,7,0,2,13,6
Cav2_3,21.2083,cnexp,1,1,7,0,2,3,6
Cav3_1,17.1943,cnexp,2,1,9,0,2,19,10
Cav3_2,3.5262,cnexp,2,1,8,0,2,6,9
Cav3_3,14.4448,cnexp,2,1,7,0,2,8,13
cdp5,31.1666,sparse,3,1,7,0,15,25,8
cdp5_CAM,24.2297,sparse,4,3,17,0,28,44,11
cdp5_CAM_GoC,22.2478,sparse,4,1,17,0,24,39,9
cdp5_CR,22.7029,sparse,3,1,13,0,22,27,8
HCN1,13.8425,cnexp,1,1,8,0,1,12,9
HCN1_golgi,22.007,cnexp,0,0,13,0,2,15,11
HCN2,10.6912,cnexp,0,0,12,0,2,15,11
Kca1_1,21.0614,sparse,2,1,3,0,10,18,32
Kca2_2,6.9286,sparse,2,1,4,0,6,15,18
Kca3_1,12.8631,cnexp,2,1,8,0,1,5,8
Kir2_3,4.7497,derivi,1,1,14,0,1,10,6
Km,5.4648,derivi,1,1,15,0,1,12,6
Kv1_1,6.0125,cnexp,1,1,10,0,1,3,13
Kv1_5,10.4437,derivi,5,2,17,0,3,5,15
Kv2_2,17.9801,cnexp,1,1,4,0,2,2,8
Kv3_3,14.3572,cnexp,1,1,10,0,1,3,13
Kv3_4,30.9939,cnexp,1,1,6,0,2,14,6
Kv4_3,5.3766,derivi,1,1,27,0,2,19,11
Kv7,14.3012,cnexp,1,1,2,2,1,13,5
Leak,20.8939,,0,0,4,0,0,2,2
Leak_GABA,5.3239,,0,0,3,0,0,4,2
Na_granule_cell,19.4718,sparse,1,1,33,0,13,21,12
Na_granule_cell_FHF,3.009,sparse,1,1,32,0,17,25,14
Nav1_1,18.6974,sparse,1,1,6,2,13,20,45
Nav1_6,6.5955,sparse,1,1,6,0,13,18,41
